manualData,cf_post2014,standard
,* (2.1.9) lifestyle or information needs - exercise and activity summary *,SUMMARY_Exercise and Activity
,* (2.1.9) lifestyle or information needs - hobbies *,CONCERN_Hobbies
,* (2.1.9) lifestyle or information needs - hobbies summary *,SUMMARY_Hobbies
,* (2.1.9) lifestyle or information needs - other *,CONCERN_Other
,* (2.1.9) lifestyle or information needs - other summary *,SUMMARY_Other
,* (2.1.9) lifestyle or information needs - smoking *,CONCERN_Smoking
,* (2.1.9) lifestyle or information needs - smoking summary *,SUMMARY_Smoking
,* (2.1.9) lifestyle or information needs - sun protection *,CONCERN_Sun Protection
,* (2.1.9) lifestyle or information needs - sun protection summary *,SUMMARY_Sun Protection
,* (2.1.9) lifestyle or information needs - support groups *,CONCERN_Support Groups
,* (2.1.9) lifestyle or information needs - support groups summary *,SUMMARY_Support Groups
,* (2.1.10) overall score for concern over last week *,overall_score_for_concern_over_last_week
,* (3.1.1) referral to housing provider to be arranged *,referral_to_housing_provider_to_be_arranged
,* (3.1.2) housing issue *,housing_issue
,* (3.1.3) home care support required *,home_care_support_required
,* (3.1.5) ot assessment required *,ot_assessment_required
,* (3.1.7) referral to long term conditions team required *,referral_to_long_term_conditions_team_required
,* (3.1.29) hna_care plan letter sent to client *,hna_care_plan_letter_sent_to_client
,* (3.2.1) social work involvement - addictions *,social_work_involvement_addictions
,* (3.2.1) social work involvement - adult support and protection *,social_work_involvement_adult_support_and_protection
,* (3.2.1) social work involvement - adults with incapacity *,social_work_involvement_adults_with_incapacity
,* (3.2.1) social work involvement - care homes *,social_work_involvement_care_homes
,* (3.2.1) social work involvement - carers assessment *,social_work_involvement_carers_assessment
,* (3.2.1) social work involvement - carers team *,social_work_involvement_carers_team
,* (3.2.1) social work involvement - children and families *,social_work_involvement_children_and_families
,* (3.2.1) social work involvement - criminal justice *,social_work_involvement_criminal_justice
,* (3.2.1) social work involvement - day care *,social_work_involvement_day_care
,* (3.2.1) social work involvement - homeless *,social_work_involvement_homeless
,* (3.2.1) social work involvement - housing options *,social_work_involvement_housing_options
,* (3.2.1) social work involvement - learning disabilities *,social_work_involvement_learning_disabilities
,* (3.2.1) social work involvement - mental health *,social_work_involvement_mental_health
,* (3.2.1) social work involvement - occupational therapy *,social_work_involvement_occupational_therapy
,* (3.2.1) social work involvement - older people *,social_work_involvement_older_people
,* (3.2.1) social work involvement - physical disabilities *,social_work_involvement_physical_disabilities
,* (3.2.1) social work involvement - sensory services *,social_work_involvement_sensory_services
,* (3.2.1) social work involvement - support at home *,social_work_involvement_support_at_home
,* (3.2.2) cordia involvement - befriending service *,cordia_involvement_befriending_service
,* (3.2.2) cordia involvement - children and families *,cordia_involvement_children_and_families
,* (3.2.2) cordia involvement - community alarms *,cordia_involvement_community_alarms
,* (3.2.2) cordia involvement - equipu *,cordia_involvement_equipu
,* (3.2.2) cordia involvement - help at home *,cordia_involvement_help_at_home
,* (3.2.2) cordia involvement - home care *,cordia_involvement_home_care
,* (3.2.2) cordia involvement - kitchen *,cordia_involvement_kitchen
,* (3.2.2) cordia involvement - personalisation *,cordia_involvement_personalisation
,* (3.2.2) cordia involvement - reablement *,cordia_involvement_reablement
,* (3.2.2) cordia involvement - transport and support service *,cordia_involvement_transport_and_support_service
,* (3.2.3) glasgow life involvement - adult literacy and numeracy classes *,glasgow_life_involvement_adult_literacy_and_numeracy_classes
,* (3.2.3) glasgow life involvement - arts *,glasgow_life_involvement_arts
,* (3.2.3) glasgow life involvement - canmove *,glasgow_life_involvement_canmove
,* (3.2.3) glasgow life involvement - communities *,glasgow_life_involvement_communities
,* (3.2.3) glasgow life involvement - digital learning classes *,glasgow_life_involvement_digital_learning_classes
,* (3.2.3) glasgow life involvement - gentle movement *,glasgow_life_involvement_gentle_movement
,* (3.2.3) glasgow life involvement - glasgow club *,glasgow_life_involvement_glasgow_club
,* (3.2.3) glasgow life involvement - glasgow life volunteer *,glasgow_life_involvement_glasgow_life_volunteer
,* (3.2.3) glasgow life involvement - jogging *,glasgow_life_involvement_jogging
,* (3.2.3) glasgow life involvement - library reading group *,glasgow_life_involvement_library_reading_group
,* (3.2.3) glasgow life involvement - live active *,glasgow_life_involvement_live_active
,* (3.2.3) glasgow life involvement - museums *,glasgow_life_involvement_museums
,* (3.2.3) glasgow life involvement - music *,glasgow_life_involvement_music
,* (3.2.3) glasgow life involvement - revitalise *,glasgow_life_involvement_revitalise
,* (3.2.3) glasgow life involvement - vitality *,glasgow_life_involvement_vitality
,* (3.2.3) glasgow life involvement - walking *,glasgow_life_involvement_walking
,Assessment Outcome Description,assessment_outcome_description
,SIMD Vigintile,simd_vigintile
,Assessment_ID,assessment_id
,* first icj add visit completed *,first_icj_add_visit_completed
,* last icj add visit completed *,last_icj_add_visit_completed
,* rank from first to last completed add visit *,rank_from_first_to_last_completed_add_visit
,* (1.1.1) visit location (ni inc) *,visit_location_ni_inc
,* (2.1.1) reason for additional visit (ni inc) *,reason_for_additional_visit_ni_inc
,* last icj case details completed *,last_icj_case_details_completed
,* first icj case details completed *,first_icj_case_details_completed
,* ranking (from first to last completed icj case details) *,ranking_from_first_to_last_completed_icj_case_details
,* (1.1.3) marital status (inc ni) *,marital_status_inc_ni
,* (3.1.1) employment status (inc ni) *,employment_status_inc_ni
,* (3.1.2) client a partner organisation gcc employee (inc ni) *,client_a_partner_organisation_gcc_employee_inc_ni
,* (3.1.3) are there any hr issues (inc ni) *,are_there_any_hr_issues_inc_ni
,* (3.1.4) do you have literacy issues (inc ni) *,do_you_have_literacy_issues_inc_ni
,* (3.1.5) are you computer literate (inc ni) *,are_you_computer_literate_inc_ni
,* (4.1.1) mobility issues (inc ni) *,mobility_issues_inc_ni
,* (4.1.2) caring responsibilities (inc ni) *,caring_responsibilities_inc_ni
,* (4.1.3) benefit from money/debt advice (inc ni) *,benefit_from_moneydebt_advice_inc_ni
,* (4.1.4) mental health issues (inc ni) *,mental_health_issues_inc_ni
,* (4.1.5) consider yourself to have a disability (inc ni) *,consider_yourself_to_have_a_disability_inc_ni
,* (5.1.1) primary diagnosis (one) *,primary_diagnosis_one
,* (5.1.1) primary diagnosis (two) *,primary_diagnosis_two
,* (5.1.1) primary diagnosis (three) *,primary_diagnosis_three
,* (5.1.2) additional diagnosis (one) *,additional_diagnosis_one
,* (5.1.2) additional diagnosis (two) *,additional_diagnosis_two
,* (5.1.2) additional diagnosis (three) *,additional_diagnosis_three
,* (5.1.3) metastasis 1 *,metastasis_1
,* (5.1.4) metastasis 2 *,metastasis_2
,* (5.1.5) co morbidity 1 *,co_morbidity_1
,* (5.1.6) co morbidity 2 *,co_morbidity_2
,* (5.1.7) co morbidity 3 *,co_morbidity_3
,* (5.1.8) co morbidity 4 *,co_morbidity_4
,* (5.1.10) is there a history of cancer (inc ni) *,is_there_a_history_of_cancer_inc_ni
,* (6.1.5) was carer identified (inc ni) *,was_carer_identified_inc_ni
,* (6.1.7) was carer assessment offered (inc ni) *,was_carer_assessment_offered_inc_ni
,* (6.1.9) was carer assessment declined (inc ni) *,was_carer_assessment_declined_inc_ni
,* (6.1.11) period of time caring for client (inc ni) (only applies where a carer has been identified) *,period_of_time_caring_for_client_inc_ni_only_applies_where_a_carer_has_been_identified
,* (6.1.12) receive employability advice (inc ni) *,receive_employability_advice_inc_ni
,* (6.1.14) receive end of life planning information (inc ni) *,receive_end_of_life_planning_information_inc_ni
,* (7.1.1) housing - type (inc ni) *,housing_type_inc_ni
,* (7.1.1) housing - tenure (inc ni) *,housing_tenure_inc_ni
,* (7.1.1) housing - hh composition (inc ni) *,housing_hh_composition_inc_ni
,* (7.1.8) landlord name *,landlord_name
,* (8.1.1) registered social landlord *,registered_social_landlord
,* last evaluation completed *,last_evaluation_completed
,* first evaluation completed *,first_evaluation_completed
,* ranking (from first to last completed icj evaluation) *,ranking_from_first_to_last_completed_icj_evaluation
,* (1.1.1) hear about service = received a letter through the post (inc ni) *,hear_about_service_received_a_letter_through_the_post_inc_ni
,* (1.1.2) hear about service = from my gp (inc ni) *,hear_about_service_from_my_gp_inc_ni
,* (1.1.3) hear about service = from health professional (other than gp) (inc ni) *,hear_about_service_from_health_professional_other_than_gp_inc_ni
,* (1.1.4) hear about service = benefits advisor (inc ni) *,hear_about_service_benefits_advisor_inc_ni
,* (1.1.5) hear about service = nhs or gcc employee (inc ni) *,hear_about_service_nhs_or_gcc_employee_inc_ni
,* (1.1.6) hear about service = other (inc ni) *,hear_about_service_other_inc_ni
,* (1.1.9) icj experience = easy to make an appointment (inc ni) *,icj_experience_easy_to_make_an_appointment_inc_ni
,* (1.1.10) icj experience = the icj officer listened to me (inc ni) *,icj_experience_the_icj_officer_listened_to_me_inc_ni
,* (1.1.11) icj experience = support was appropriate to needs (inc ni) *,icj_experience_support_was_appropriate_to_needs_inc_ni
,* (1.1.12) icj experience = if concerns feel they were reduced (inc ni) *,icj_experience_if_concerns_feel_they_were_reduced_inc_ni
,* (1.1.13) icj experience = know who to contact if any questions or concerns (inc ni) *,icj_experience_know_who_to_contact_if_any_questions_or_concerns_inc_ni
,* (1.1.14) icj experience = helped reduce feelings of isolation (inc ni) *,icj_experience_helped_reduce_feelings_of_isolation_inc_ni
,* (1.1.15) icj experience = better informed to discuss my diagnosis (inc ni) *,icj_experience_better_informed_to_discuss_my_diagnosis_inc_ni
,* (2.1.1) sought support needed = internet (inc ni) *,sought_support_needed_internet_inc_ni
,* (2.1.2) sought support needed = information leaflets (inc ni) *,sought_support_needed_information_leaflets_inc_ni
,* (2.1.3) sought support needed = gp (inc ni) *,sought_support_needed_gp_inc_ni
,* (2.1.4) sought support needed = friends_family (inc ni) *,sought_support_needed_friends_family_inc_ni
,* (2.1.5) sought support needed =professional (other than gp) (inc ni) *,sought_support_needed_professional_other_than_gp_inc_ni
,* (2.1.6) sought support needed =complementary or alternative therapies (inc ni) *,sought_support_needed_complementary_or_alternative_therapies_inc_ni
,* (2.1.7) sought support needed = chaplain (inc ni) *,sought_support_needed_chaplain_inc_ni
,* (2.1.8) sought support needed = my employer (inc ni) *,sought_support_needed_my_employer_inc_ni
,* (2.1.9) sought support needed = social worker (inc ni) *,sought_support_needed_social_worker_inc_ni
,* (2.1.10) sought support needed = charity (inc ni) *,sought_support_needed_charity_inc_ni
,* (2.1.11) sought support needed = telephone support line (inc ni) *,sought_support_needed_telephone_support_line_inc_ni
,* (2.1.12) sought support needed = no idea (inc ni) *,sought_support_needed_no_idea_inc_ni
,* (2.1.13) sought support needed = other (inc ni) *,sought_support_needed_other_inc_ni
,* (2.1.16) support from icj has = made me feel supported (inc ni) *,support_from_icj_has_made_me_feel_supported_inc_ni
,* (2.1.17) support from icj has = improved my quality of life (inc ni) *,support_from_icj_has_improved_my_quality_of_life_inc_ni
,* (2.1.18) support from icj has = allowed self manage and regain control (inc ni) *,support_from_icj_has_allowed_self_manage_and_regain_control_inc_ni
,* (2.1.19) support from icj has = reduced stress (inc ni) *,support_from_icj_has_reduced_stress_inc_ni
,* (2.1.20) support from icj has = made life easier (inc ni) *,support_from_icj_has_made_life_easier_inc_ni
,* (3.1.1) link officer informed me about services that could help (inc ni) *,link_officer_informed_me_about_services_that_could_help_inc_ni
,* (3.1.2) link officer made it easy for me to express concerns (inc ni) *,link_officer_made_it_easy_for_me_to_express_concerns_inc_ni
,* (3.1.3) link officer made it easy to contact them (inc ni) *,link_officer_made_it_easy_to_contact_them_inc_ni
,* (3.1.4) link officer took concerns seriously to find solutions (inc ni) *,link_officer_took_concerns_seriously_to_find_solutions_inc_ni
,* (3.1.5) link officer respectful of wishes (inc ni) *,link_officer_respectful_of_wishes_inc_ni
,* (3.1.6) link officer referred me to services appropriate to needs (inc ni) *,link_officer_referred_me_to_services_appropriate_to_needs_inc_ni
,* (3.1.7) link officer made me aware of support and services (inc ni) *,link_officer_made_me_aware_of_support_and_services_inc_ni
,* (3.1.8) link officer encouraged me to raise issues with professionals (inc ni) *,link_officer_encouraged_me_to_raise_issues_with_professionals_inc_ni
,* (3.1.9) link officer encouraged me to use self management info (inc ni) *,link_officer_encouraged_me_to_use_self_management_info_inc_ni
,* (3.1.10) link officer able to provide support to relatives or friends (inc ni) *,link_officer_able_to_provide_support_to_relatives_or_friends_inc_ni
,* (3.1.12) quality of advice and support from icj (inc ni) *,quality_of_advice_and_support_from_icj_inc_ni
,* first icj review completed *,first_icj_review_completed
,* last icj review completed *,last_icj_review_completed
,* rank from first to last completed icj review *,rank_from_first_to_last_completed_icj_review
,* (1.1.1) physical concerns - breathing difficulties (before) *,BEFORE_Breathing Difficulties
,* (1.1.1) physical concerns - breathing difficulties (after) *,AFTER_Breathing Difficulties
,* (1.1.1) physical concerns - breathing difficulties numeric difference *,DIFF_NUM_Breathing Difficulties
,* (1.1.1) physical concerns - breathing difficulties category difference *,DIFF_CAT_Breathing Difficulties
,* (1.1.1) physical concerns - passing urine (before) *,BEFORE_Passing Urine
,* (1.1.1) physical concerns - passing urine (after) *,AFTER_Passing Urine
,* (1.1.1) physical concerns - passing urine numeric difference *,DIFF_NUM_Passing Urine
,* (1.1.1) physical concerns - passing urine category difference *,DIFF_CAT_Passing Urine
,* (1.1.1) physical concerns - constipation (before) *,BEFORE_Constipation
,* (1.1.1) physical concerns - constipation (after) *,AFTER_Constipation
,* (1.1.1) physical concerns - constipation numeric difference *,DIFF_NUM_Constipation
,* (1.1.1) physical concerns - constipation category difference *,DIFF_CAT_Constipation
,* (1.1.1) physical concerns - diarrhoea (before) *,BEFORE_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea (after) *,AFTER_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea numeric difference *,DIFF_NUM_Diarrhoea
,* (1.1.1) physical concerns - diarrhoea category difference *,DIFF_CAT_Diarrhoea
,* (1.1.1) physical concerns - eating or appetite (before) *,BEFORE_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite (after) *,AFTER_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite numeric difference *,DIFF_NUM_Eating/Appetite
,* (1.1.1) physical concerns - eating or appetite category difference *,DIFF_CAT_Eating/Appetite
,* (1.1.1) physical concerns - indigestion (before) *,BEFORE_Indigestion
,* (1.1.1) physical concerns - indigestion (after) *,AFTER_Indigestion
,* (1.1.1) physical concerns - indigestion numeric difference *,DIFF_NUM_Indigestion
,* (1.1.1) physical concerns - indigestion category difference *,DIFF_CAT_Indigestion
,* (1.1.1) physical concerns - sore or dry mouth (before) *,BEFORE_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth (after) *,AFTER_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth numeric difference *,DIFF_NUM_Sore/Dry Mouth
,* (1.1.1) physical concerns - sore or dry mouth category difference *,DIFF_CAT_Sore/Dry Mouth
,* (1.1.1) physical concerns - nausea or vomiting (before) *,BEFORE_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting (after) *,AFTER_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting numeric difference *,DIFF_NUM_Nausea/Vomiting
,* (1.1.1) physical concerns - nausea or vomiting category difference *,DIFF_CAT_Nausea/Vomiting
,* (1.1.2) physical concerns - sleep problems or nightmares (before) *,BEFORE_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares (after) *,AFTER_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares numeric difference *,DIFF_NUM_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - sleep problems or nightmares category difference *,DIFF_CAT_Sleep Problems/Nightmares
,* (1.1.2) physical concerns - tired exhausted fatigued (before) *,BEFORE_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued (after) *,AFTER_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued numeric difference *,DIFF_NUM_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - tired exhausted fatigued category difference *,DIFF_CAT_Tired/Exhausted/Fatigued
,* (1.1.2) physical concerns - swollen limb or tummy (before) *,BEFORE_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy (after) *,AFTER_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy numeric difference *,DIFF_NUM_Swollen Tummy/Limb
,* (1.1.2) physical concerns - swollen limb or tummy category difference *,DIFF_CAT_Swollen Tummy/Limb
,* (1.1.2) physical concerns - high temperature or fever (before) *,BEFORE_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever (after) *,AFTER_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever numeric difference *,DIFF_NUM_High Temperature/Fever
,* (1.1.2) physical concerns - high temperature or fever category difference *,DIFF_CAT_High Temperature/Fever
,* (1.1.2) physical concerns - getting around walking (before) *,BEFORE_Getting Around
,* (1.1.2) physical concerns - getting around walking (after) *,AFTER_Getting Around
,* (1.1.2) physical concerns - getting around walking numeric difference *,DIFF_NUM_Getting Around
,* (1.1.2) physical concerns - getting around walking category difference *,DIFF_CAT_Getting Around
,* (1.1.2) physical concerns - tingling in hands or feet (before) *,BEFORE_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet (after) *,AFTER_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet numeric difference *,DIFF_NUM_Tingling in Hands/Feet
,* (1.1.2) physical concerns - tingling in hands or feet category difference *,DIFF_CAT_Tingling in Hands/Feet
,* (1.1.2) physical concerns - pain (before) *,BEFORE_Pain
,* (1.1.2) physical concerns - pain (after) *,AFTER_Pain
,* (1.1.2) physical concerns - pain numeric difference *,DIFF_NUM_Pain
,* (1.1.2) physical concerns - pain category difference *,DIFF_CAT_Pain
,* (1.1.2) physical concerns - hot flushes or sweating (before) *,BEFORE_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating (after) *,AFTER_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating numeric difference *,DIFF_NUM_Hot Flushes/Sweating
,* (1.1.2) physical concerns - hot flushes or sweating category difference *,DIFF_CAT_Hot Flushes/Sweating
